id,gyrA,pEK204,CT-X-M-15,pEG356,CTX-M-14,colicinPlasmid1,pMG828-3
IB2015_Vietnam_2002,0,0,0,0,0,5,6
DE0199_HCMC_2000,0,0,0,0,0,5,6
DE1486_HCMC_2002,0,0,0,0,0,5,6
DE1198_HCMC_2002,0,0,0,0,0,5,6
DE0306_HCMC_2000,0,0,0,0,0,5,6
DE1165_HCMC_2002,0,0,0,0,0,5,6
IB2018_Vietnam_2002,0,0,0,0,0,5,6
IB1993_Vietnam_2003,0,0,0,0,0,5,6
IB1990_Vietnam_2003,0,0,0,0,0,5,6
DE1404_HCMC_2002,0,0,0,0,0,5,6
EG0304_HCMC_2006,0,0,0,0,0,5,6
EG0410_HCMC_2007,0,0,0,0,0,5,6
EG0379_HCMC_2007,0,0,0,0,0,5,6
DE1063_HCMC_2002,0,0,0,0,0,5,6
DE1191_HCMC_2002,0,0,0,0,0,5,6
DE1208_HCMC_2002,0,0,0,0,0,5,6
EG0386_HCMC_2007,0,0,0,0,0,5,6
KH42_HCMC_2010,0,0,0,0,15,5,6
HUE25_HCMC_2009,0,0,0,0,0,5,6
EG0373_HCMC_2007,0,7,8,0,0,5,6
HUE26_HCMC_2009,0,0,0,0,0,5,6
HUE47_HCMC_2009,0,0,0,0,0,5,6
HUE16_HCMC_2009,0,0,0,0,0,5,6
HUE23_HCMC_2009,0,0,0,0,0,5,6
HUE21_HCMC_2009,0,0,0,0,0,5,6
HUE67_HCMC_2010,0,0,0,0,0,5,6
HUE64_HCMC_2010,0,0,0,0,0,5,6
HUE27_HCMC_2009,0,0,0,0,0,5,6
HUE24_HCMC_2009,0,0,0,0,0,5,6
HUE48_HCMC_2009,0,0,0,0,0,5,6
HUE60_HCMC_2010,0,0,0,0,0,5,6
HUE57_HCMC_2010,0,0,0,0,0,5,6
HUE68_HCMC_2010,0,0,0,0,0,5,6
HUE62_HCMC_2010,0,0,0,0,0,5,6
HUE43_HCMC_2009,0,0,0,0,0,5,0
HUE33_HCMC_2009,0,0,0,0,15,5,0
10071_HCMC_2009,0,0,0,0,0,5,0
10031_HCMC_2009,0,0,0,0,0,5,0
HUE30_HCMC_2009,0,0,0,0,0,5,0
HUE01_HCMC_2008,0,0,0,0,0,5,0
HUE02_HCMC_2008,0,0,0,0,0,5,0
HUE05_HCMC_2008,0,0,0,0,0,5,0
HUE34_HCMC_2009,0,0,0,0,15,5,0
HUE32_HCMC_2009,0,0,0,0,0,5,0
HUE40_HCMC_2009,0,0,0,0,0,5,0
HUE42_HCMC_2009,0,0,0,0,0,5,0
HUE31_HCMC_2009,0,0,0,0,0,5,0
DE0655_HCMC_2001,0,0,0,0,0,0,0
MS0111_HCMC_1996,0,0,0,0,0,0,0
MS0063_HCMC_1995,0,0,0,0,0,0,0
DE0490_HCMC_2000,4,0,0,0,0,0,0
DE0885_HCMC_2001,4,0,0,0,0,0,0
DE0891_HCMC_2001,4,0,0,0,0,0,0
MS0119_HCMC_1996,0,0,0,0,0,0,0
MS0069_HCMC_1995,0,0,0,0,0,0,0
MS0065_HCMC_1995,0,0,0,0,0,0,0
MS0070_HCMC_1995,0,0,0,0,0,0,0
MS0048_HCMC_1995,0,0,0,0,0,0,0
MS0083_HCMC_1996,0,0,0,0,0,0,0
MS0102_HCMC_1996,0,0,0,0,0,0,0
MS0032_HCMC_1995,0,0,0,0,0,0,0
MS0034_HCMC_1995,0,0,0,0,0,0,0
MS0039_HCMC_1995,0,0,0,0,0,0,0
MS0004_HCMC_1995,0,0,0,0,0,0,0
