id,dummy_bar_value
20031275_Iran_2003,7
31382_Israel_2003,8
20040924_Kenya_Egypt_2004,8
IB1_Korea_2003,1
IB10_Korea_2003,10
IB2_Korea_2003,1
IB2493_Korea_NA,10
IB3_Korea_2003,6
IB681_Korea_1991,6
IB683_Korea_1994,8
IB687_Korea_1998,5
IB690_Korea_2000,3
IB691_Korea_1999,6
IB694_Korea_1979,7
IB695_Korea_1983,3
IB696_Korea_1980,9
IB697_Korea_1982,5
IB698_Korea_1983,1
IB713_Korea_1981,5
IB716_Korea_1981,7
IB717_Korea_1982,1
IB739_Korea_1985,9
IB748_Korea_1987,8
53G_Korea_2000,1
5827_Madagascar_2000,2
989560_Madagascar_1998,9
9810267_Madagascar_1998,3
19984123_Mexico_1998,7
20062313_Nepal_2006,8
970044_New,10
IB3277_Pakistan_2002,9
IB3300_Pakistan_2002,3
IB3374_Pakistan_2002,10
IB3488_Pakistan_2003,8
IB3507_Pakistan_2003,4
IB3580_Pakistan_2003,4
IB3599_Pakistan_2003,5
20052631_Peru_2005,2
273_Senegal_1973,4
1567_Senegal_1967,8
36224_Senegal_2003,3
20040880_SriLanka_2004,5
Ss046_Ref_1950,2
54178_Sweden_1945,6
54179_Sweden_1944,6
54181_Sweden_1945,9
54184_Sweden_1945,4
54190_Sweden_1945,6
54210_Sweden_1943,1
54216_Sweden_1946,1
54228_Sweden_1947,3
19904011_unk_1990,5
19910761_unk_1991,1
19911483_unk_1991,1
19920319_unk_1992,5
20003593_unk_2000,1
20010007_unk_2001,3
20011685_unk_2001,3
20021122_unk_2002,8
20040489_unk_2004,2
20041367_unk_2004,4
20071599_unk_2007,9
20081885_unk_2008,7
20051541_Uzbekistan_2005,7
IB1970_Vietnam_2001,2
IB1976_Vietnam_2002,9
IB1980_Vietnam_2002,2
IB1985_Vietnam_2002,1
IB1987_Vietnam_2002,3
IB1990_Vietnam_2003,2
IB1993_Vietnam_2003,3
IB1995_Vietnam_2003,2
IB1997_Vietnam_2003,1
IB2000_Vietnam_2003,10
IB2004_Vietnam_2003,7
IB2008_Vietnam_2003,4
IB2009_Vietnam_2003,3
IB2012_Vietnam_2001,3
IB2013_Vietnam_2001,5
IB2015_Vietnam_2002,3
IB2018_Vietnam_2002,8
IB2024_Vietnam_2002,5
IB2026_Vietnam_2003,1
#N/A,9
10083_HCMC_NA,7
10093_HCMC_NA,9
10102_HCMC_NA,8
10111_HCMC_NA,8
10115_HCMC_NA,4
10134_HCMC_NA,3
10135_HCMC_NA,5
10152_HCMC_NA,1
10159_HCMC_NA,7
10188_HCMC_NA,4
10014_HCMC_NA,5
10263_HCMC_NA,7
10320_HCMC_NA,6
10365_HCMC_NA,8
10021_HCMC_NA,4
10031_HCMC_NA,1
10035_HCMC_NA,2
10060_HCMC_NA,4
10063_HCMC_NA,10
10071_HCMC_NA,1
10073_HCMC_NA,6
