id,location,name,country,year,
20263_HCMC_2009,HCMC,20263,HCMC,2009,
20343_HCMC_2009,HCMC,20343,HCMC,2009,
30003_HCMC_2009,HCMC,30003,HCMC,2009,
30008_HCMC_2009,HCMC,30008,HCMC,2009,
30010_HCMC_2009,HCMC,30010,HCMC,2009,
30037_HCMC_2009,HCMC,30037,HCMC,2009,
30054_HCMC_2009,HCMC,30054,HCMC,2009,
30059_HCMC_2009,HCMC,30059,HCMC,2009,
30071_HCMC_2009,HCMC,30071,HCMC,2009,
30073_HCMC_2009,HCMC,30073,HCMC,2009,
30100_HCMC_2009,HCMC,30100,HCMC,2009,
30112_HCMC_2009,HCMC,30112,HCMC,2009,
30124_HCMC_2009,HCMC,30124,HCMC,2009,
30162_HCMC_2009,HCMC,30162,HCMC,2009,
30164_HCMC_2009,HCMC,30164,HCMC,2009,
30169_HCMC_2009,HCMC,30169,HCMC,2009,
30172_HCMC_2009,HCMC,30172,HCMC,2009,
30174_HCMC_2009,HCMC,30174,HCMC,2009,
30233_HCMC_2009,HCMC,30233,HCMC,2009,
30293_HCMC_2009,HCMC,30293,HCMC,2009,
30366_HCMC_2009,HCMC,30366,HCMC,2009,
30371_HCMC_2009,HCMC,30371,HCMC,2009,
30387_HCMC_2010,HCMC,30387,HCMC,2010,
30450_HCMC_2010,HCMC,30450,HCMC,2010,
30451_HCMC_2010,HCMC,30451,HCMC,2010,
DE0115_HCMC_2000,HCMC,DE0115,HCMC,2000,
DE0127_HCMC_2000,HCMC,DE0127,HCMC,2000,
DE0199_HCMC_2000,HCMC,DE0199,HCMC,2000,
DE0248_HCMC_2000,HCMC,DE0248,HCMC,2000,
DE0295_HCMC_2000,HCMC,DE0295,HCMC,2000,
DE0303_HCMC_2000,HCMC,DE0303,HCMC,2000,
DE0306_HCMC_2000,HCMC,DE0306,HCMC,2000,
DE0330_HCMC_2000,HCMC,DE0330,HCMC,2000,
DE0427_HCMC_2000,HCMC,DE0427,HCMC,2000,
DE0477_HCMC_2000,HCMC,DE0477,HCMC,2000,
DE0489_HCMC_2000,HCMC,DE0489,HCMC,2000,
DE0490_HCMC_2000,HCMC,DE0490,HCMC,2000,
DE0579_HCMC_2001,HCMC,DE0579,HCMC,2001,
DE0611_HCMC_2001,HCMC,DE0611,HCMC,2001,
DE0654_HCMC_2001,HCMC,DE0654,HCMC,2001,
DE0655_HCMC_2001,HCMC,DE0655,HCMC,2001,
DE0685_HCMC_2001,HCMC,DE0685,HCMC,2001,
DE0816_HCMC_2001,HCMC,DE0816,HCMC,2001,
DE0846_HCMC_2001,HCMC,DE0846,HCMC,2001,
DE0885_HCMC_2001,HCMC,DE0885,HCMC,2001,
DE0891_HCMC_2001,HCMC,DE0891,HCMC,2001,
DE0900_HCMC_2001,HCMC,DE0900,HCMC,2001,
DE0965_HCMC_2001,HCMC,DE0965,HCMC,2001,
DE1063_HCMC_2002,HCMC,DE1063,HCMC,2002,
DE1140_HCMC_2002,HCMC,DE1140,HCMC,2002,
DE1150_HCMC_2002,HCMC,DE1150,HCMC,2002,
DE1165_HCMC_2002,HCMC,DE1165,HCMC,2002,
DE1191_HCMC_2002,HCMC,DE1191,HCMC,2002,
DE1198_HCMC_2002,HCMC,DE1198,HCMC,2002,
DE1208_HCMC_2002,HCMC,DE1208,HCMC,2002,
DE1209_HCMC_2002,HCMC,DE1209,HCMC,2002,
DE1256_HCMC_2002,HCMC,DE1256,HCMC,2002,
DE1318_HCMC_2002,HCMC,DE1318,HCMC,2002,
DE1336_HCMC_2002,HCMC,DE1336,HCMC,2002,
DE1404_HCMC_2002,HCMC,DE1404,HCMC,2002,
DE1486_HCMC_2002,HCMC,DE1486,HCMC,2002,
EG0129_HCMC_2007,HCMC,EG0129,HCMC,2007,
EG0159_HCMC_2007,HCMC,EG0159,HCMC,2007,
EG0204_HCMC_2008,HCMC,EG0204,HCMC,2008,
EG0255_HCMC_2008,HCMC,EG0255,HCMC,2008,
EG0304_HCMC_2006,HCMC,EG0304,HCMC,2006,
EG0309_HCMC_2006,HCMC,EG0309,HCMC,2006,
EG0313_HCMC_2006,HCMC,EG0313,HCMC,2006,
EG0315_HCMC_2006,HCMC,EG0315,HCMC,2006,
EG0318_HCMC_2006,HCMC,EG0318,HCMC,2006,
EG0352_HCMC_2007,HCMC,EG0352,HCMC,2007,
EG0357_HCMC_2007,HCMC,EG0357,HCMC,2007,
EG0362_HCMC_2007,HCMC,EG0362,HCMC,2007,
EG0365_HCMC_2007,HCMC,EG0365,HCMC,2007,
EG0369_HCMC_2007,HCMC,EG0369,HCMC,2007,
EG0372_HCMC_2007,HCMC,EG0372,HCMC,2007,
EG0373_HCMC_2007,HCMC,EG0373,HCMC,2007,
EG0375_HCMC_2007,HCMC,EG0375,HCMC,2007,
EG0379_HCMC_2007,HCMC,EG0379,HCMC,2007,
EG0383_HCMC_2007,HCMC,EG0383,HCMC,2007,
EG0385_HCMC_2007,HCMC,EG0385,HCMC,2007,
EG0386_HCMC_2007,HCMC,EG0386,HCMC,2007,
EG0388_HCMC_2007,HCMC,EG0388,HCMC,2007,
EG0390_HCMC_2007,HCMC,EG0390,HCMC,2007,
EG0392_HCMC_2007,HCMC,EG0392,HCMC,2007,
EG0393_HCMC_2007,HCMC,EG0393,HCMC,2007,
EG0394_HCMC_2007,HCMC,EG0394,HCMC,2007,
EG0395_HCMC_2007,HCMC,EG0395,HCMC,2007,
EG0401_HCMC_2007,HCMC,EG0401,HCMC,2007,
EG0404_HCMC_2007,HCMC,EG0404,HCMC,2007,
EG0410_HCMC_2007,HCMC,EG0410,HCMC,2007,
EG0425_HCMC_2008,HCMC,EG0425,HCMC,2008,
EG0430_HCMC_2008,HCMC,EG0430,HCMC,2008,
EG0451_HCMC_2008,HCMC,EG0451,HCMC,2008,
EG0467_HCMC_2008,HCMC,EG0467,HCMC,2008,
EG0472_HCMC_2008,HCMC,EG0472,HCMC,2008,
EG1001_HCMC_2008,HCMC,EG1001,HCMC,2008,
EG1004_HCMC_2008,HCMC,EG1004,HCMC,2008,
EG1008_HCMC_2008,HCMC,EG1008,HCMC,2008,
EG1014_HCMC_2009,HCMC,EG1014,HCMC,2009,
EG1015_HCMC_2009,HCMC,EG1015,HCMC,2009,
EG1016_HCMC_2009,HCMC,EG1016,HCMC,2009,
EG1017_HCMC_2009,HCMC,EG1017,HCMC,2009,
EG1018_HCMC_2009,HCMC,EG1018,HCMC,2009,
EG1019_HCMC_2009,HCMC,EG1019,HCMC,2009,
EG1020_HCMC_2009,HCMC,EG1020,HCMC,2009,
EG1021_HCMC_2009,HCMC,EG1021,HCMC,2009,
EG1022_HCMC_2009,HCMC,EG1022,HCMC,2009,
EG1023_HCMC_2009,HCMC,EG1023,HCMC,2009,
EG1024_HCMC_2009,HCMC,EG1024,HCMC,2009,
EG1025_HCMC_2009,HCMC,EG1025,HCMC,2009,
EG1026_HCMC_0,HCMC,EG1026,HCMC,0,
EG1027_HCMC_0,HCMC,EG1027,HCMC,0,
EG1028_HCMC_0,HCMC,EG1028,HCMC,0,
EG1029_HCMC_0,HCMC,EG1029,HCMC,0,
HUE01_HCMC_2008,Hue,HUE01,HCMC,2008,
HUE02_HCMC_2008,Hue,HUE02,HCMC,2008,
HUE05_HCMC_2008,Hue,HUE05,HCMC,2008,
HUE16_HCMC_2009,Hue,HUE16,HCMC,2009,
HUE17_HCMC_2009,Hue,HUE17,HCMC,2009,
HUE19_HCMC_2009,Hue,HUE19,HCMC,2009,
HUE20_HCMC_2009,Hue,HUE20,HCMC,2009,
HUE21_HCMC_2009,Hue,HUE21,HCMC,2009,
HUE22_HCMC_2009,Hue,HUE22,HCMC,2009,
HUE23_HCMC_2009,Hue,HUE23,HCMC,2009,
HUE24_HCMC_2009,Hue,HUE24,HCMC,2009,
HUE25_HCMC_2009,Hue,HUE25,HCMC,2009,
HUE26_HCMC_2009,Hue,HUE26,HCMC,2009,
HUE27_HCMC_2009,Hue,HUE27,HCMC,2009,
HUE29_HCMC_2009,Hue,HUE29,HCMC,2009,
HUE30_HCMC_2009,Hue,HUE30,HCMC,2009,
HUE31_HCMC_2009,Hue,HUE31,HCMC,2009,
HUE32_HCMC_2009,Hue,HUE32,HCMC,2009,
HUE33_HCMC_2009,Hue,HUE33,HCMC,2009,
HUE34_HCMC_2009,Hue,HUE34,HCMC,2009,
HUE40_HCMC_2009,Hue,HUE40,HCMC,2009,
HUE42_HCMC_2009,Hue,HUE42,HCMC,2009,
HUE43_HCMC_2009,Hue,HUE43,HCMC,2009,
HUE46_HCMC_2009,Hue,HUE46,HCMC,2009,
HUE47_HCMC_2009,Hue,HUE47,HCMC,2009,
HUE48_HCMC_2009,Hue,HUE48,HCMC,2009,
HUE50_HCMC_2009,Hue,HUE50,HCMC,2009,
HUE53_HCMC_2010,Hue,HUE53,HCMC,2010,
HUE55_HCMC_2010,Hue,HUE55,HCMC,2010,
HUE57_HCMC_2010,Hue,HUE57,HCMC,2010,
HUE58_HCMC_2010,Hue,HUE58,HCMC,2010,
HUE60_HCMC_2010,Hue,HUE60,HCMC,2010,
HUE62_HCMC_2010,Hue,HUE62,HCMC,2010,
HUE64_HCMC_2010,Hue,HUE64,HCMC,2010,
HUE67_HCMC_2010,Hue,HUE67,HCMC,2010,
HUE68_HCMC_2010,Hue,HUE68,HCMC,2010,
KH02_HCMC_2009,KH,KH02,HCMC,2009,
KH04_HCMC_2009,KH,KH04,HCMC,2009,
KH05_HCMC_2009,KH,KH05,HCMC,2009,
KH06_HCMC_2009,KH,KH06,HCMC,2009,
KH07_HCMC_2009,KH,KH07,HCMC,2009,
KH09_HCMC_2009,KH,KH09,HCMC,2009,
KH10_HCMC_2009,KH,KH10,HCMC,2009,
KH11_HCMC_2009,KH,KH11,HCMC,2009,
KH12_HCMC_2009,KH,KH12,HCMC,2009,
KH13_HCMC_2009,KH,KH13,HCMC,2009,
KH14_HCMC_2009,KH,KH14,HCMC,2009,
KH15_HCMC_2009,KH,KH15,HCMC,2009,
KH16_HCMC_2009,KH,KH16,HCMC,2009,
KH17_HCMC_2009,KH,KH17,HCMC,2009,
KH18_HCMC_2009,KH,KH18,HCMC,2009,
KH19_HCMC_2009,KH,KH19,HCMC,2009,
KH20_HCMC_2009,KH,KH20,HCMC,2009,
KH21_HCMC_2009,KH,KH21,HCMC,2009,
KH23_HCMC_2009,KH,KH23,HCMC,2009,
KH24_HCMC_2009,KH,KH24,HCMC,2009,
KH25_HCMC_2009,KH,KH25,HCMC,2009,
KH26_HCMC_2009,KH,KH26,HCMC,2009,
KH27_HCMC_2009,KH,KH27,HCMC,2009,
KH28_HCMC_2009,KH,KH28,HCMC,2009,
KH29_HCMC_2009,KH,KH29,HCMC,2009,
KH30_HCMC_2009,KH,KH30,HCMC,2009,
KH32_HCMC_2009,KH,KH32,HCMC,2009,
KH33_HCMC_2009,KH,KH33,HCMC,2009,
KH34_HCMC_2009,KH,KH34,HCMC,2009,
KH35_HCMC_2009,KH,KH35,HCMC,2009,
KH37_HCMC_2009,KH,KH37,HCMC,2009,
KH38_HCMC_2009,KH,KH38,HCMC,2009,
KH40_HCMC_2009,KH,KH40,HCMC,2009,
KH41_HCMC_2009,KH,KH41,HCMC,2009,
KH42_HCMC_2010,KH,KH42,HCMC,2010,
KH43_HCMC_2010,KH,KH43,HCMC,2010,
KH45_HCMC_2010,KH,KH45,HCMC,2010,
KH53_HCMC_2010,KH,KH53,HCMC,2010,
KH54_HCMC_2010,KH,KH54,HCMC,2010,
KH55_HCMC_2010,KH,KH55,HCMC,2010,
KH57_HCMC_2010,KH,KH57,HCMC,2010,
MS0004_HCMC_1995,HCMC,MS0004,HCMC,1995,
MS0011_HCMC_1995,HCMC,MS0011,HCMC,1995,
MS0032_HCMC_1995,HCMC,MS0032,HCMC,1995,
MS0034_HCMC_1995,HCMC,MS0034,HCMC,1995,
MS0035_HCMC_1995,HCMC,MS0035,HCMC,1995,
MS0039_HCMC_1995,HCMC,MS0039,HCMC,1995,
MS0042_HCMC_1995,HCMC,MS0042,HCMC,1995,
MS0043_HCMC_1995,HCMC,MS0043,HCMC,1995,
MS0048_HCMC_1995,HCMC,MS0048,HCMC,1995,
MS0063_HCMC_1995,HCMC,MS0063,HCMC,1995,
MS0065_HCMC_1995,HCMC,MS0065,HCMC,1995,
MS0069_HCMC_1995,HCMC,MS0069,HCMC,1995,
MS0070_HCMC_1995,HCMC,MS0070,HCMC,1995,
MS0080_HCMC_1995,HCMC,MS0080,HCMC,1995,
MS0083_HCMC_1996,HCMC,MS0083,HCMC,1996,
MS0094_HCMC_1996,HCMC,MS0094,HCMC,1996,
MS0102_HCMC_1996,HCMC,MS0102,HCMC,1996,
MS0110_HCMC_1996,HCMC,MS0110,HCMC,1996,
MS0111_HCMC_1996,HCMC,MS0111,HCMC,1996,
MS0119_HCMC_1996,HCMC,MS0119,HCMC,1996,
MS0122_HCMC_1996,HCMC,MS0122,HCMC,1996,
MS0127_HCMC_1996,HCMC,MS0127,HCMC,1996,
MS0128_HCMC_1996,HCMC,MS0128,HCMC,1996,
20031275_Iran_2003,other,20031275,Iran,2003,
31382_Israel_2003,other,31382,Israel,2003,
20040924_Kenya_Egypt_2004,other,20040924,Kenya,Egypt,2004
IB1_Korea_2003,other,IB1,Korea,2003,
IB10_Korea_2003,other,IB10,Korea,2003,
IB2_Korea_2003,other,IB2,Korea,2003,
IB2493_Korea_NA,other,IB2493,Korea,NA,
IB3_Korea_2003,other,IB3,Korea,2003,
IB681_Korea_1991,other,IB681,Korea,1991,
IB683_Korea_1994,other,IB683,Korea,1994,
IB687_Korea_1998,other,IB687,Korea,1998,
IB690_Korea_2000,other,IB690,Korea,2000,
IB691_Korea_1999,other,IB691,Korea,1999,
IB694_Korea_1979,other,IB694,Korea,1979,
IB695_Korea_1983,other,IB695,Korea,1983,
IB696_Korea_1980,other,IB696,Korea,1980,
IB697_Korea_1982,other,IB697,Korea,1982,
IB698_Korea_1983,other,IB698,Korea,1983,
IB713_Korea_1981,other,IB713,Korea,1981,
IB716_Korea_1981,other,IB716,Korea,1981,
IB717_Korea_1982,other,IB717,Korea,1982,
IB739_Korea_1985,other,IB739,Korea,1985,
IB748_Korea_1987,other,IB748,Korea,1987,
53G_Korea_2000,other,53G,Korea,2000,
5827_Madagascar_2000,other,5827,Madagascar,2000,
989560_Madagascar_1998,other,989560,Madagascar,1998,
9810267_Madagascar_1998,other,9810267,Madagascar,1998,
19984123_Mexico_1998,other,19984123,Mexico,1998,
20062313_Nepal_2006,other,20062313,Nepal,2006,
970044_New,other,970044,New,,
IB3277_Pakistan_2002,other,IB3277,Pakistan,2002,
IB3300_Pakistan_2002,other,IB3300,Pakistan,2002,
IB3374_Pakistan_2002,other,IB3374,Pakistan,2002,
IB3488_Pakistan_2003,other,IB3488,Pakistan,2003,
IB3507_Pakistan_2003,other,IB3507,Pakistan,2003,
IB3580_Pakistan_2003,other,IB3580,Pakistan,2003,
IB3599_Pakistan_2003,other,IB3599,Pakistan,2003,
20052631_Peru_2005,other,20052631,Peru,2005,
273_Senegal_1973,other,273,Senegal,1973,
1567_Senegal_1967,other,1567,Senegal,1967,
36224_Senegal_2003,other,36224,Senegal,2003,
20040880_SriLanka_2004,other,20040880,SriLanka,2004,
Ss046_Ref_1950,other,Ss046,Ref,1950,
54178_Sweden_1945,other,54178,Sweden,1945,
54179_Sweden_1944,other,54179,Sweden,1944,
54181_Sweden_1945,other,54181,Sweden,1945,
54184_Sweden_1945,other,54184,Sweden,1945,
54190_Sweden_1945,other,54190,Sweden,1945,
54210_Sweden_1943,other,54210,Sweden,1943,
54216_Sweden_1946,other,54216,Sweden,1946,
54228_Sweden_1947,other,54228,Sweden,1947,
19904011_unk_1990,other,19904011,unk,1990,
19910761_unk_1991,other,19910761,unk,1991,
19911483_unk_1991,other,19911483,unk,1991,
19920319_unk_1992,other,19920319,unk,1992,
20003593_unk_2000,other,20003593,unk,2000,
20010007_unk_2001,other,20010007,unk,2001,
20011685_unk_2001,other,20011685,unk,2001,
20021122_unk_2002,other,20021122,unk,2002,
20040489_unk_2004,other,20040489,unk,2004,
20041367_unk_2004,other,20041367,unk,2004,
20071599_unk_2007,other,20071599,unk,2007,
20081885_unk_2008,other,20081885,unk,2008,
20051541_Uzbekistan_2005,other,20051541,Uzbekistan,2005,
IB1970_Vietnam_2001,VN,IB1970,Vietnam,2001,
IB1976_Vietnam_2002,VN,IB1976,Vietnam,2002,
IB1980_Vietnam_2002,VN,IB1980,Vietnam,2002,
IB1985_Vietnam_2002,VN,IB1985,Vietnam,2002,
IB1987_Vietnam_2002,VN,IB1987,Vietnam,2002,
IB1990_Vietnam_2003,VN,IB1990,Vietnam,2003,
IB1993_Vietnam_2003,VN,IB1993,Vietnam,2003,
IB1995_Vietnam_2003,VN,IB1995,Vietnam,2003,
IB1997_Vietnam_2003,VN,IB1997,Vietnam,2003,
IB2000_Vietnam_2003,VN,IB2000,Vietnam,2003,
IB2004_Vietnam_2003,VN,IB2004,Vietnam,2003,
IB2008_Vietnam_2003,VN,IB2008,Vietnam,2003,
IB2009_Vietnam_2003,VN,IB2009,Vietnam,2003,
IB2012_Vietnam_2001,VN,IB2012,Vietnam,2001,
IB2013_Vietnam_2001,VN,IB2013,Vietnam,2001,
IB2015_Vietnam_2002,VN,IB2015,Vietnam,2002,
IB2018_Vietnam_2002,VN,IB2018,Vietnam,2002,
IB2024_Vietnam_2002,VN,IB2024,Vietnam,2002,
IB2026_Vietnam_2003,VN,IB2026,Vietnam,2003,
#N/A,other,#N/A,,,
10083_HCMC_NA,other,10083,HCMC,NA,
10093_HCMC_NA,other,10093,HCMC,NA,
10102_HCMC_NA,other,10102,HCMC,NA,
10111_HCMC_NA,other,10111,HCMC,NA,
10115_HCMC_NA,other,10115,HCMC,NA,
10134_HCMC_NA,other,10134,HCMC,NA,
10135_HCMC_NA,other,10135,HCMC,NA,
10152_HCMC_NA,other,10152,HCMC,NA,
10159_HCMC_NA,other,10159,HCMC,NA,
10188_HCMC_NA,other,10188,HCMC,NA,
10014_HCMC_NA,other,10014,HCMC,NA,
10263_HCMC_NA,other,10263,HCMC,NA,
10320_HCMC_NA,other,10320,HCMC,NA,
10365_HCMC_NA,other,10365,HCMC,NA,
10021_HCMC_NA,other,10021,HCMC,NA,
10031_HCMC_NA,other,10031,HCMC,NA,
10035_HCMC_NA,other,10035,HCMC,NA,
10060_HCMC_NA,other,10060,HCMC,NA,
10063_HCMC_NA,other,10063,HCMC,NA,
10071_HCMC_NA,other,10071,HCMC,NA,
10073_HCMC_NA,other,10073,HCMC,NA,
